ShapeTemplateId,ShapeTemplateName,ParameterName,DisplayName,Value,Formula,ParameterType,ParamId
1,BSO,L,Length,25,,INPUT,1
1,BSO,W,Width,25,,INPUT,2
1,BSO,D,Height,40,,INPUT,3
1,BSO,CTBK,CTBK,0.5,,INPUT,4
1,BSO,TUCKIN,TUCKIN,12,,INPUT,5
1,BSO,PASTING,PASTING,10,,INPUT,6
1,BSO,OFST,OFST,0,,,7
1,BSO,CG,CG,12,TUCKIN,,8
1,BSO,C,C,12,CG,,9
1,BSO,EG,EG,8,,,10
1,BSO,E,E,8,EG,,11
1,BSO,H,H,11.5,CG - CTBK,,12
1,BSO,X4,X4,0,,,13
1,BSO,X5,X5,1,,,14
1,BSO,X6,X6,0.5,,,15
1,BSO,Y,Y,0.75,,,16
1,BSO,R5,R5,0.5,X6,,17
1,BSO,R6,R6,0.75,Y,,18
1,BSO,R7,R7,12.5,H + 1,,19
1,BSO,R8,R8,0,,,20
1,BSO,S,S,5,,,21
1,BSO,A,A,18.25,( X4 + W - X6 + C + OFST ) / 2,,22
1,BSO,N,N,3,,,23
1,BSO,S2,S2,2.5,,,24
1,BSO,Y1,Y1,0.5,,,25
1,BSO,Y2,Y2,1.5,,,26
1,BSO,R13,R13,1,,,27
1,BSO,R14,R14,1,,,28
1,BSO,R15,R15,0,,,29
1,BSO,T6,T6,45,,,30
1,BSO,T7,T7,13,,,31
1,BSO,N4,N4,3,,,32
1,BSO,R20,R20,2.5,,,33
1,BSO,S4,S4,8,,,34
1,BSO,T10,T10,5,,,35
1,BSO,G,G,10,PASTING,,36
1,BSO,R,R,0,,,37
1,BSO,R1,R1,0,,,38
1,BSO,T,T,10,,,39
1,BSO,ANGLEA,ANGLEA,45,,,40
1,BSO,ANGLEB,ANGLEB,67.5,( 180 - ANGLEA ) / 2,,41
1,BSO,TEMPP,TEMPP,0.70710676908493042,sin(2 * PI *  ANGLEA / 360.0) * R13,,42
1,BSO,TEMPB,TEMPB,0.29289323091506958,TEMPP / tan(2 * PI * ( ANGLEB ) / 360.0),,43
1,BSO,BM,Bleed MArk Size,2.5,,,44
1,BSO,BMG,Bleed Mark Gap,2.5,,,45
2,LBTO,L,Length,45,,INPUT,46
2,LBTO,W,Width,26,,INPUT,47
2,LBTO,D,Height,80,,INPUT,48
2,LBTO,CTBK,CTBK,0,,INPUT,49
2,LBTO,TUCKIN,TUCKIN,12,,INPUT,50
2,LBTO,PASTING,PASTING,10,,INPUT,51
2,LBTO,OFST,OFST,0,,,52
2,LBTO,CG,CG,12,TUCKIN,,53
2,LBTO,C,C,12,CG,,54
2,LBTO,EG,EG,8,,,55
2,LBTO,E,E,8,EG,,56
2,LBTO,H,H,12,CG-CTBK,,57
2,LBTO,X4,X4,0,OFST,,58
2,LBTO,X5,X5,1,,,59
2,LBTO,X6,X6,0.5,,,60
2,LBTO,Y,Y,0.75,,,61
2,LBTO,R5,R5,0.5,X6,,62
2,LBTO,R6,R6,0.75,Y,,63
2,LBTO,R7,R7,13,H + 1,,64
2,LBTO,R8,R8,0,,,65
2,LBTO,S,S,5,,,66
2,LBTO,A,A,18.75,( X4 + W - X6 + C + OFST ) / 2,,67
2,LBTO,N,N,3,,,68
2,LBTO,S2,S2,2.5,,,69
2,LBTO,Y1,Y1,0.5,,,70
2,LBTO,Y2,Y2,1.5,,,71
2,LBTO,R13,R13,1,,,72
2,LBTO,R14,R14,1,,,73
2,LBTO,R15,R15,0,,,74
2,LBTO,T6,T6,45,,,75
2,LBTO,T7,T7,13,,,76
2,LBTO,N4,N4,3,,,77
2,LBTO,R20,R20,2.5,,,78
2,LBTO,S4,S4,8,,,79
2,LBTO,T10,T10,5,,,80
2,LBTO,G,G,10,PASTING,,81
2,LBTO,R,R,0,,,82
2,LBTO,R1,R1,0,,,83
2,LBTO,T,T,10,,,84
2,LBTO,ANGLEA,ANGLEA,45,,,85
2,LBTO,ANGLEB,ANGLEB,67.5,( 180 - ANGLEA ) / 2,,86
2,LBTO,TEMPP,TEMPP,0.70710676908493042,sin(2 * PI *  ANGLEA / 360.0) * R13,,87
2,LBTO,TEMPB,TEMPB,0.29289323091506958,TEMPP / tan(2 * PI * ( ANGLEB ) / 360.0),,88
2,LBTO,LOCK_PERCENTAGE,LOCK PERCENTAGE,75,,INPUT,89
2,LBTO,T61,T61,45,,,90
2,LBTO,S16,S16,2,,,91
2,LBTO,N5,N5,2,,,92
2,LBTO,T62,T62,30,,,93
2,LBTO,T60,T60,45,,,94
2,LBTO,BMG,Bleed Marks Gap,2.5,,,95
2,LBTO,BM,Bleed Mark,2.5,,,96
3,BSP,L,Length,85,,INPUT,97
3,BSP,W,Width,30,,INPUT,98
3,BSP,D,Height,130,,INPUT,99
3,BSP,CTBK,CTBK,0.5,,INPUT,100
3,BSP,OVERLAP_FLAP,OVERLAP,82,,INPUT,101
3,BSP,PASTING,PASTING,12,,INPUT,102
3,BSP,OFST,OFST,0.5,,,103
3,BSP,CG,CG,82,OVERLAP_FLAP,,104
3,BSP,C,C,82,CG,,105
3,BSP,EG,EG,8,,,106
3,BSP,E,E,8,EG,,107
3,BSP,H,H,81.5,CG-CTBK,,108
3,BSP,X4,X4,0.5,OFST,,109
3,BSP,X5,X5,1,,,110
3,BSP,X6,X6,0.5,,,111
3,BSP,Y,Y,0.75,,,112
3,BSP,R5,R5,0.5,X6,,113
3,BSP,R6,R6,0.75,Y,,114
3,BSP,R7,R7,82.5,H + 1,,115
3,BSP,R8,R8,0,,,116
3,BSP,S,S,5,,,117
3,BSP,A,A,56.25,( X4 + W - X6 + C + OFST ) / 2,,118
3,BSP,N,N,3,,,119
3,BSP,S2,S2,2.5,,,120
3,BSP,Y1,Y1,0.5,,,121
3,BSP,Y2,Y2,1.5,,,122
3,BSP,R13,R13,1,,,123
3,BSP,R14,R14,1,,,124
3,BSP,R15,R15,0,,,125
3,BSP,T6,T6,45,,,126
3,BSP,T7,T7,13,,,127
3,BSP,N4,N4,3,,,128
3,BSP,R20,R20,2.5,,,129
3,BSP,S4,S4,8,,,130
3,BSP,T10,T10,5,,,131
3,BSP,G,G,12,PASTING,,132
3,BSP,R,R,0,,,133
3,BSP,R1,R1,0,,,134
3,BSP,T,T,10,,,135
3,BSP,ANGLEA,ANGLEA,45,,,136
3,BSP,ANGLEB,ANGLEB,67.5,(180 - ANGLEA ) / 2,,137
3,BSP,TEMPP,TEMPP,0.70710676908493042,sin(2 * PI *  ANGLEA  / 360.0) * R13,,138
3,BSP,TEMPB,TEMPB,0.29289323091506958,TEMPP  / tan(2 * PI * ( ANGLEB ) / 360.0),,139
3,BSP,T17,T17,5,,,140
3,BSP,S6,S6,15,W / 2,,141
3,BSP,W5,FLAP_WIDTH,24.600000381469727,W  *  OVERLAP_FLAP %,,142
3,BSP,W6,FLAP_WIDTH2,24.600000381469727,W5,,143
3,BSP,N6,N6,3,,,144
3,BSP,A2,A2,24.600000381469727,W5,,145
3,BSP,A3,A3,24.600000381469727,W5,,146
3,BSP,BMG,Bleed Marks Gap,2.5,,,147
3,BSP,BM,Bleed Mark,2.5,,,148
4,LBTO INTERLOCK,L,Length,230,,INPUT,149
4,LBTO INTERLOCK,W,Width,125,,INPUT,150
4,LBTO INTERLOCK,D,Height,78,,INPUT,151
4,LBTO INTERLOCK,CTBK,CTBK,0.5,,INPUT,152
4,LBTO INTERLOCK,TUCKIN,TUCKIN,15,,INPUT,153
4,LBTO INTERLOCK,PASTING,PASTING,12,,INPUT,154
4,LBTO INTERLOCK,OFST,OFST,0,,,155
4,LBTO INTERLOCK,CG,CG,15,TUCKIN,,156
4,LBTO INTERLOCK,C,C,15,CG,,157
4,LBTO INTERLOCK,EG,EG,8,,,158
4,LBTO INTERLOCK,E,E,8,EG,,159
4,LBTO INTERLOCK,H,H,14.5,CG - CTBK,,160
4,LBTO INTERLOCK,X4,X4,0,OFST,,161
4,LBTO INTERLOCK,X5,X5,1,,,162
4,LBTO INTERLOCK,X6,X6,0.5,,,163
4,LBTO INTERLOCK,Y,Y,0.75,,,164
4,LBTO INTERLOCK,R5,R5,0.5,X6,,165
4,LBTO INTERLOCK,R6,R6,0.75,Y,,166
