ShapeLineId,ShapeTemplateId,DesignName,StartX,StartY,EndX,EndY,Description,LineType
1,1,A,G + 0,CG + W + 0,G + 0,CG + W + D,,Crease
2,1,A,G + L,CG + W + 0,G + L,CG + W + D,,Crease
3,1,A,G + L + W,CG + W + 0,G + L + W,CG + W + D,,Crease
4,1,A,G + L + W + L,CG + W + 0,G + L + W + L,CG + W + D,,Crease
5,1,A,G + 0,CG + W + D + X4,G + L,CG + W + D + X4,,Crease
6,1,A,G + L,CG + W + D,G + L + W - Y1,CG + W + D,,Crease
7,1,A,G + L + W + L + Y1,CG + W + D,G + L + W + L + W - CTBK,CG + W + D,,Crease
8,1,A,G + L + Y1,CG + W + 0,G + L + W,CG + W + 0,,Crease
9,1,A,G + L + W,CG + W + 0,G + L + W + L,CG + W + 0,,Crease
10,1,A,G + L + W + L,CG + W + 0,G + L + W + L + W - Y1,CG + W + 0,,Crease
11,1,A,G + E,CG + W + D + W - R5,G + L - E,CG + W + D + W - R5,,Crease
12,1,A,G + L + W + E,CG + W + ( - W  +  R5 ),G + L + W + L - E,CG + W + (- W + R5 ),,Crease
13,1,A,G + L + W,CG + W + D,G + L + W + L,CG + W + D,,Cut
14,1,A,G + 0,CG + W + 0,G + L,CG + W + 0,,Cut
15,1,A,( G + L + W + L + W ) - CTBK,CG + W + 0,G + ( L + W + L + W ) - CTBK,CG + W + D,,Cut
16,1,A,G + 0,CG + W + 0,0,CG + W + ( tan ( T  * ( 22  /  7 ) / 180 ) *  G ),,Cut
17,1,A,0,CG + W + ( Tan ( T *  ( 22  /  7 ) / 180  )  *  G  ),0,CG + W + D - (( tan ( T  * (22 / 7) / 180) *  G )),,Cut
18,1,A,0,CG + W + D - ( ( Tan (  T  *  ( 22 / 7) / 180 ) *  G )),G + 0,CG + W + D,,Cut
19,1,A,G + 0,CG + W + D,G + 0,CG + W + D + W - R5,,Cut
20,1,A,G + R5,CG + W + D + W,G + E - R5,CG + W + D + W,,Cut
21,1,A,G + E,CG + W + D + W - R5,G + E,CG + W + D + W - R5 - X5,,Cut
22,1,A,G + L,CG + W + D,G + L,CG + W + D + W - R5,,Cut
23,1,A,G + L - R5,CG + W + D + W,G + L - E + R5,CG + W + D + W,,Cut
24,1,A,G + L - E,CG + W + D + W - R5,G + L - E,CG + W + D + W - R5 - X5,,Cut
25,1,A,G + Y + C,CG + W + D + W + X4 + C,G + L - Y - C,CG + W + D + W + X4 + C,,Cut
26,1,A,G + L + W,CG + W + 0,G + L + W,CG + W -W + R5,,Cut
